modelo,conjunto_atributos,ano_teste,data_referencia,municipio,y_real,y_pred
DummyMedia,calendario,2023,2023-02-01,caibi,0,4.982283464566929
DummyMedia,calendario,2023,2023-03-01,caibi,1,4.982283464566929
DummyMedia,calendario,2023,2023-04-01,caibi,1,4.982283464566929
DummyMedia,calendario,2023,2023-05-01,caibi,0,4.982283464566929
DummyMedia,calendario,2023,2023-06-01,caibi,0,4.982283464566929
DummyMedia,calendario,2023,2023-07-01,caibi,1,4.982283464566929
DummyMedia,calendario,2023,2023-08-01,caibi,0,4.982283464566929
DummyMedia,calendario,2023,2023-09-01,caibi,1,4.982283464566929
DummyMedia,calendario,2023,2023-10-01,caibi,2,4.982283464566929
DummyMedia,calendario,2023,2023-11-01,caibi,0,4.982283464566929
DummyMedia,calendario,2023,2023-12-01,caibi,0,4.982283464566929
DummyMedia,calendario,2023,2023-01-01,camboriu,0,4.982283464566929
DummyMedia,calendario,2023,2023-02-01,camboriu,0,4.982283464566929
DummyMedia,calendario,2023,2023-03-01,camboriu,0,4.982283464566929
DummyMedia,calendario,2023,2023-04-01,camboriu,0,4.982283464566929
DummyMedia,calendario,2023,2023-05-01,camboriu,1,4.982283464566929
DummyMedia,calendario,2023,2023-06-01,camboriu,1,4.982283464566929
DummyMedia,calendario,2023,2023-07-01,camboriu,0,4.982283464566929
DummyMedia,calendario,2023,2023-08-01,camboriu,0,4.982283464566929
DummyMedia,calendario,2023,2023-09-01,camboriu,0,4.982283464566929
DummyMedia,calendario,2023,2023-10-01,camboriu,0,4.982283464566929
DummyMedia,calendario,2023,2023-11-01,camboriu,0,4.982283464566929
DummyMedia,calendario,2023,2023-12-01,camboriu,2,4.982283464566929
DummyMedia,calendario,2023,2023-01-01,campos novos,6,4.982283464566929
DummyMedia,calendario,2023,2023-02-01,campos novos,4,4.982283464566929
DummyMedia,calendario,2023,2023-03-01,campos novos,8,4.982283464566929
DummyMedia,calendario,2023,2023-04-01,campos novos,7,4.982283464566929
DummyMedia,calendario,2023,2023-05-01,campos novos,5,4.982283464566929
DummyMedia,calendario,2023,2023-06-01,campos novos,6,4.982283464566929
DummyMedia,calendario,2023,2023-07-01,campos novos,3,4.982283464566929
DummyMedia,calendario,2023,2023-08-01,campos novos,5,4.982283464566929
DummyMedia,calendario,2023,2023-09-01,campos novos,8,4.982283464566929
DummyMedia,calendario,2023,2023-10-01,campos novos,0,4.982283464566929
DummyMedia,calendario,2023,2023-11-01,campos novos,3,4.982283464566929
DummyMedia,calendario,2023,2023-12-01,campos novos,6,4.982283464566929
DummyMedia,calendario,2023,2023-01-01,canelinha,0,4.982283464566929
DummyMedia,calendario,2023,2023-02-01,canelinha,0,4.982283464566929
DummyMedia,calendario,2023,2023-03-01,canelinha,0,4.982283464566929
DummyMedia,calendario,2023,2023-04-01,canelinha,0,4.982283464566929
DummyMedia,calendario,2023,2023-05-01,canelinha,0,4.982283464566929
DummyMedia,calendario,2023,2023-06-01,canelinha,0,4.982283464566929
DummyMedia,calendario,2023,2023-07-01,canelinha,0,4.982283464566929
DummyMedia,calendario,2023,2023-08-01,canelinha,0,4.982283464566929
DummyMedia,calendario,2023,2023-09-01,canelinha,0,4.982283464566929
DummyMedia,calendario,2023,2023-10-01,canelinha,0,4.982283464566929
DummyMedia,calendario,2023,2023-11-01,canelinha,0,4.982283464566929
DummyMedia,calendario,2023,2023-12-01,canelinha,0,4.982283464566929
DummyMedia,calendario,2023,2023-01-01,canoinhas,3,4.982283464566929
DummyMedia,calendario,2023,2023-02-01,canoinhas,6,4.982283464566929
DummyMedia,calendario,2023,2023-03-01,canoinhas,6,4.982283464566929
DummyMedia,calendario,2023,2023-04-01,canoinhas,4,4.982283464566929
DummyMedia,calendario,2023,2023-05-01,canoinhas,5,4.982283464566929
DummyMedia,calendario,2023,2023-06-01,canoinhas,1,4.982283464566929
DummyMedia,calendario,2023,2023-07-01,canoinhas,2,4.982283464566929
DummyMedia,calendario,2023,2023-08-01,canoinhas,9,4.982283464566929
DummyMedia,calendario,2023,2023-09-01,canoinhas,1,4.982283464566929
DummyMedia,calendario,2023,2023-10-01,canoinhas,2,4.982283464566929
DummyMedia,calendario,2023,2023-11-01,canoinhas,3,4.982283464566929
DummyMedia,calendario,2023,2023-12-01,canoinhas,9,4.982283464566929
DummyMedia,calendario,2023,2023-01-01,capao alto,1,4.982283464566929
DummyMedia,calendario,2023,2023-02-01,capao alto,4,4.982283464566929
DummyMedia,calendario,2023,2023-03-01,capao alto,3,4.982283464566929
DummyMedia,calendario,2023,2023-04-01,capao alto,2,4.982283464566929
DummyMedia,calendario,2023,2023-05-01,capao alto,0,4.982283464566929
DummyMedia,calendario,2023,2023-06-01,capao alto,1,4.982283464566929
DummyMedia,calendario,2023,2023-07-01,capao alto,2,4.982283464566929
DummyMedia,calendario,2023,2023-08-01,capao alto,4,4.982283464566929
DummyMedia,calendario,2023,2023-09-01,capao alto,2,4.982283464566929
DummyMedia,calendario,2023,2023-10-01,capao alto,2,4.982283464566929
DummyMedia,calendario,2023,2023-11-01,capao alto,2,4.982283464566929
DummyMedia,calendario,2023,2023-12-01,capao alto,3,4.982283464566929
DummyMedia,calendario,2023,2023-01-01,capivari de baixo,5,4.982283464566929
DummyMedia,calendario,2023,2023-02-01,capivari de baixo,5,4.982283464566929
DummyMedia,calendario,2023,2023-03-01,capivari de baixo,5,4.982283464566929
DummyMedia,calendario,2023,2023-04-01,capivari de baixo,1,4.982283464566929
DummyMedia,calendario,2023,2023-05-01,capivari de baixo,5,4.982283464566929
DummyMedia,calendario,2023,2023-06-01,capivari de baixo,6,4.982283464566929
DummyMedia,calendario,2023,2023-07-01,capivari de baixo,2,4.982283464566929
DummyMedia,calendario,2023,2023-08-01,capivari de baixo,2,4.982283464566929
DummyMedia,calendario,2023,2023-09-01,capivari de baixo,3,4.982283464566929
DummyMedia,calendario,2023,2023-10-01,capivari de baixo,11,4.982283464566929
DummyMedia,calendario,2023,2023-11-01,capivari de baixo,4,4.982283464566929
DummyMedia,calendario,2023,2023-12-01,capivari de baixo,3,4.982283464566929
DummyMedia,calendario,2023,2023-01-01,catanduvas,4,4.982283464566929
DummyMedia,calendario,2023,2023-02-01,catanduvas,1,4.982283464566929
DummyMedia,calendario,2023,2023-03-01,catanduvas,2,4.982283464566929
DummyMedia,calendario,2023,2023-04-01,catanduvas,1,4.982283464566929
DummyMedia,calendario,2023,2023-05-01,catanduvas,4,4.982283464566929
DummyMedia,calendario,2023,2023-06-01,catanduvas,2,4.982283464566929
DummyMedia,calendario,2023,2023-07-01,catanduvas,2,4.982283464566929
DummyMedia,calendario,2023,2023-08-01,catanduvas,0,4.982283464566929
DummyMedia,calendario,2023,2023-09-01,catanduvas,3,4.982283464566929
DummyMedia,calendario,2023,2023-10-01,catanduvas,2,4.982283464566929
DummyMedia,calendario,2023,2023-11-01,catanduvas,1,4.982283464566929
DummyMedia,calendario,2023,2023-12-01,catanduvas,0,4.982283464566929
DummyMedia,calendario,2023,2023-01-01,chapeco,15,4.982283464566929
DummyMedia,calendario,2023,2023-02-01,chapeco,7,4.982283464566929
DummyMedia,calendario,2023,2023-03-01,chapeco,4,4.982283464566929
DummyMedia,calendario,2023,2023-04-01,chapeco,7,4.982283464566929
DummyMedia,calendario,2023,2023-05-01,chapeco,8,4.982283464566929
DummyMedia,calendario,2023,2023-06-01,chapeco,9,4.982283464566929
DummyMedia,calendario,2023,2023-07-01,chapeco,6,4.982283464566929
DummyMedia,calendario,2023,2023-08-01,chapeco,11,4.982283464566929
DummyMedia,calendario,2023,2023-09-01,chapeco,4,4.982283464566929
DummyMedia,calendario,2023,2023-10-01,chapeco,8,4.982283464566929
DummyMedia,calendario,2023,2023-11-01,chapeco,12,4.982283464566929
DummyMedia,calendario,2023,2023-12-01,chapeco,7,4.982283464566929
DummyMedia,calendario,2023,2023-01-01,concordia,2,4.982283464566929
DummyMedia,calendario,2023,2023-02-01,concordia,5,4.982283464566929
DummyMedia,calendario,2023,2023-03-01,concordia,1,4.982283464566929
DummyMedia,calendario,2023,2023-04-01,concordia,2,4.982283464566929
